Transaction date,Post date,Description,Billing amount,Billing currency,Transaction status,Merchant name,Country / region,Area / district,Credit / Debit
05/03/2026,07/03/2026,SALES:   PAYME FROM HSBC           Hong Kong    HK,"-3,000.00"	,HKD,POSTED,PAYME FROM HSBC,HONG KONG,Hong Kong,DEBIT
24/02/2026,26/02/2026,APPLEPAY CHINA MOBILE HK C24100    HONG KONG    HK,"-1.00"	,HKD,POSTED,CHINA MOBILE HK C24100,HONG KONG,HONG KONG,DEBIT
17/02/2026,20/02/2026,SALES:   PAYME FROM HSBC           Hong Kong    HK,"-3,000.00"	,HKD,POSTED,PAYME FROM HSBC,HONG KONG,Hong Kong,DEBIT
16/02/2026,16/02/2026,PAYMENT - THANK YOU,"9,900.00"	,HKD,POSTED,,HONG KONG,,CREDIT
16/01/2026,16/01/2026,PAYMENT - THANK YOU,"65,600.00"	,HKD,POSTED,,,,CREDIT
16/01/2026,16/01/2026,PAYMENT - THANK YOU,"10.00"	,HKD,POSTED,,HONG KONG,,CREDIT
16/01/2026,16/01/2026,SALES:   HKPU                      KOWLOON      HK,"-72,500.00"	,HKD,POSTED,HKPU,HONG KONG,KOWLOON,DEBIT
15/01/2026,17/01/2026,SALES:   PAYME FROM HSBC           Hong Kong    HK,"-3,000.00"	,HKD,POSTED,PAYME FROM HSBC,HONG KONG,Hong Kong,DEBIT
